,text_length,text_sentiment_polarity,text_sentiment_subjectivity,text_theme_patriotism,text_theme_freedom,text_theme_war,text_theme_peace,text_theme_nature,text_theme_religion,image_color_count,image_red_dominance,image_green_dominance,image_blue_dominance,image_brightness,image_complexity,audio_duration,audio_tempo,audio_energy,audio_pitch_mean,audio_pitch_std,audio_volume
text_length,1.0,-0.15465574596406395,0.03794815005942492,-0.07619321386262053,-0.0337536628567929,0.11004138708523083,-0.23039249754012586,-0.17778344994430156,-0.20870473114767035,0.2280785201499101,-0.006654313093659763,0.10017581277042027,-0.009613559585736375,-0.18281889583697997,0.3072298725197698,0.3210100586634448,-0.21289494456372882,-0.1689732412038512,0.02817350151691861,0.05811247725686146,-0.17036494698929586
text_sentiment_polarity,-0.15465574596406395,1.0,0.4673945820298473,0.09384830474641945,0.05257597273830398,-0.16377943568011535,0.1443286889661815,0.16051806063158433,0.04895081319575651,-0.08578392122876968,0.06270146707975759,0.09582596063142797,-0.04234280577814044,0.020575606860663804,-0.028470105476422394,0.08036932079076614,-0.0014906524254653056,0.023503978029204283,-0.09437140962014126,-0.10855070305699098,0.02451977123793821
text_sentiment_subjectivity,0.03794815005942492,0.4673945820298473,1.0,0.0292266588653546,0.09767264064025458,-0.07601442922075474,-0.03267789462993305,0.15617448316402363,-0.06756876564065625,0.026578215650526288,-0.05005629885385294,-0.03303032364749369,-0.06855605821643918,-0.0952735649630372,0.07443717385396438,0.1453660654971785,0.058843370961762675,0.0019424116141757944,-0.0196986657222209,-0.007977028447217264,0.003597105917864331
text_theme_patriotism,-0.07619321386262053,0.09384830474641945,0.0292266588653546,1.0,0.021013558656213675,0.02060688393041653,0.13909757558544456,-0.02462909933354333,0.061009374589393935,-0.019637456285750313,-0.025889191225699205,0.11860202880816077,0.0012421295572836446,0.019717858743953473,0.005789546059258841,-0.03698323323976499,-0.048572391954180026,0.10077913949647777,-0.06921953254057885,-0.0712922923152521,0.09995345968915713
text_theme_freedom,-0.0337536628567929,0.05257597273830398,0.09767264064025458,0.021013558656213675,1.0,0.011733160509607524,0.03634361657609842,0.04045127227195938,-0.0886514949514383,-0.00298738028858736,0.15196191672663356,-0.0035527445395390615,-0.11376270409947742,-0.12178832979481252,0.051382515257331916,0.20392355642374432,-0.029044163590481495,0.06174207912218953,-0.06198308886170167,-0.07430161494420458,0.06187013910145402
text_theme_war,0.11004138708523083,-0.16377943568011535,-0.07601442922075474,0.02060688393041653,0.011733160509607524,1.0,-0.028979227705109724,-0.10323581217321258,-0.15496564703108603,0.03939453118417728,0.1380806887847122,-0.023253527655024617,-0.09533491374299567,0.005586770663327598,0.01940238462267032,0.012498222652667368,-0.04436619387205767,-0.03355801118817807,0.04332323656555051,0.04494755894486169,-0.03433902995240188
text_theme_peace,-0.23039249754012586,0.1443286889661815,-0.03267789462993305,0.13909757558544456,0.03634361657609842,-0.028979227705109724,1.0,-0.06977648551713023,0.11322025411765738,-0.00025512197415001236,-0.017966017002327667,0.21604112911683265,-0.07991660371817058,-0.020317472080024948,0.005755065999538712,-0.13834404223813818,-0.05407658725026954,0.06193692341192741,-0.07288877284397678,-0.07258194953842274,0.062042739102708494
text_theme_nature,-0.17778344994430156,0.16051806063158433,0.15617448316402363,-0.02462909933354333,0.04045127227195938,-0.10323581217321258,-0.06977648551713023,1.0,-0.07029397966589497,-0.04584436844843949,-0.09220681070166299,0.051742099926889114,0.12258522434860666,0.12916447662282685,-0.05439594661757243,-0.028157783212206924,0.09542432103890781,-0.07036611623290634,-0.17397464693337616,-0.17213835367242847,-0.06856161066627829
text_theme_religion,-0.20870473114767035,0.04895081319575651,-0.06756876564065625,0.061009374589393935,-0.0886514949514383,-0.15496564703108603,0.11322025411765738,-0.07029397966589497,1.0,-0.02878198680925952,0.040679465033329636,-0.07853852464166153,0.043421222742513685,0.02103970199916795,-0.05718114649072397,-0.11555379478646371,0.1532887046208841,-0.007199687730440923,-0.0028864767211238492,-0.02128035828664117,-0.006308167998298077
image_color_count,0.2280785201499101,-0.08578392122876968,0.026578215650526288,-0.019637456285750313,-0.00298738028858736,0.03939453118417728,-0.00025512197415001236,-0.04584436844843949,-0.02878198680925952,1.0,-0.10258901812395384,0.03446570660375254,0.10659619172734093,-0.20318623436134287,0.7710900309168508,0.319564667080183,-0.040343830934390645,-0.13653454109990457,0.1623856483554887,0.15343540978050665,-0.1396414824644551
